agent,seed,reward,distance,wall,success
beta:0.0_alpha:0.0,21,-39.24374885559082,-0.2508299946784973,True,0.0
beta:0.0_alpha:0.02,21,-45.462928009033206,-0.3755792319774628,True,0.0
beta:160.0_alpha:0.01,21,-35.714957809448244,-0.3042379915714264,True,0.045000001043081286
beta:0.0_alpha:0.0,22,-42.43790397644043,-0.23328322172164917,True,0.0
beta:0.0_alpha:0.02,22,-40.252188491821286,-0.2909843772649765,True,0.020000000298023225
beta:160.0_alpha:0.01,22,-33.82615795135498,-0.2097427949309349,True,0.23000000305473806
beta:0.0_alpha:0.0,23,-44.864524841308594,-0.24657173603773117,True,0.0
beta:0.0_alpha:0.02,23,-71.97901077270508,-0.35153195858001707,True,0.0
beta:160.0_alpha:0.01,23,-24.534201622009277,-0.1280362568795681,True,0.7950000107288361
beta:0.0_alpha:0.0,24,-43.44594192504883,-0.24029673486948014,True,0.045000001043081286
beta:0.0_alpha:0.02,24,-44.28392715454102,-0.28184300363063813,True,0.0
beta:160.0_alpha:0.01,24,-44.20638580322266,-0.29958522617816924,True,0.0
beta:0.0_alpha:0.0,25,-34.062401580810544,-0.23963497579097748,True,0.0
beta:0.0_alpha:0.02,25,-36.3338005065918,-0.24627742767333985,True,0.010000000149011612
beta:160.0_alpha:0.01,25,-34.584116554260255,-0.1978211596608162,True,0.15000000298023225
beta:0.0_alpha:0.0,21,-10.84940676689148,-0.1240930587053299,False,0.9150000154972077
beta:0.0_alpha:0.02,21,-6.262040662765503,-0.09364466965198517,False,1.0
beta:160.0_alpha:0.01,21,-15.8258846282959,-0.1395602285861969,False,0.8150000035762787
beta:0.0_alpha:0.0,22,-8.802803802490235,-0.09192652776837348,False,0.9949999988079071
beta:0.0_alpha:0.02,22,-10.67314567565918,-0.09347297623753548,False,0.9650000035762787
beta:160.0_alpha:0.01,22,-11.577273178100587,-0.0983498029410839,False,0.9300000071525574
beta:0.0_alpha:0.0,23,-9.467475318908692,-0.09449670016765595,False,0.9350000023841858
beta:0.0_alpha:0.02,23,-73.0818962097168,-0.3536191195249557,False,0.0
beta:160.0_alpha:0.01,23,-10.30881862640381,-0.10537567585706711,False,0.9400000035762787
beta:0.0_alpha:0.0,24,-8.871928691864014,-0.09295827746391297,False,0.9949999988079071
beta:0.0_alpha:0.02,24,-9.290911388397216,-0.09347503781318664,False,0.9799999952316284
beta:160.0_alpha:0.01,24,-11.310177993774413,-0.10659381672739983,False,0.9399999976158142
beta:0.0_alpha:0.0,25,-8.139230298995972,-0.09526753351092339,False,0.9899999976158143
beta:0.0_alpha:0.02,25,-11.204434967041015,-0.10244428589940072,False,0.9250000059604645
beta:160.0_alpha:0.01,25,-11.46525297164917,-0.10384905636310578,False,0.95
beta:80.0_alpha:0.01_16_rollouts,1,-41.568824005126956,-0.33550905585289004,True,0.06500000134110451
beta:80.0_alpha:0.01_16_rollouts,2,-32.539374923706056,-0.20358783900737762,True,0.2750000059604645
beta:80.0_alpha:0.01_16_rollouts,3,-45.8642219543457,-0.4068422943353653,True,0.0
beta:80.0_alpha:0.01_16_rollouts,4,-41.478488540649415,-0.2884825706481934,True,0.0
beta:80.0_alpha:0.01_16_rollouts,5,-32.461228942871095,-0.24193037003278733,True,0.3800000011920929
beta:80.0_alpha:0.01_16_rollouts,1,-9.510532999038697,-0.1052704133093357,False,0.9599999964237214
beta:80.0_alpha:0.01_16_rollouts,2,-8.242198276519776,-0.10123045220971108,False,0.9700000047683716
beta:80.0_alpha:0.01_16_rollouts,3,-8.491934299468994,-0.10690288692712784,False,0.95
beta:80.0_alpha:0.01_16_rollouts,4,-8.886146450042725,-0.09339339882135392,False,0.9899999976158143
beta:80.0_alpha:0.01_16_rollouts,5,-9.588366031646729,-0.09548236727714539,False,0.9650000035762787
beta:80.0_alpha:0.01_16_rollouts,6,-28.87815990447998,-0.21903399080038072,True,0.49500001072883604
beta:80.0_alpha:0.01_16_rollouts,7,-38.9539852142334,-0.27815465033054354,True,0.030000000447034835
beta:80.0_alpha:0.01_16_rollouts,8,-38.25857849121094,-0.3129785031080246,True,0.0
beta:80.0_alpha:0.01_16_rollouts,9,-35.47887840270996,-0.2854559779167175,True,0.0
beta:80.0_alpha:0.01_16_rollouts,10,-43.17306785583496,-0.2629580110311508,True,0.015000000223517418
beta:80.0_alpha:0.01_16_rollouts,11,-26.468202781677245,-0.24322699308395385,True,0.620000010728836
beta:80.0_alpha:0.01_16_rollouts,12,-33.5435869216919,-0.17887316197156905,True,0.2700000062584877
beta:80.0_alpha:0.01_16_rollouts,13,-34.28468837738037,-0.24732941538095474,True,0.015000000223517418
beta:80.0_alpha:0.01_16_rollouts,14,-39.82065963745117,-0.2890647739171982,True,0.07500000186264515
beta:80.0_alpha:0.01_16_rollouts,15,-50.06612358093262,-0.4560819298028946,True,0.0
beta:80.0_alpha:0.01_16_rollouts,16,-28.759676933288574,-0.19503928869962692,True,0.6200000137090683
beta:80.0_alpha:0.01_16_rollouts,17,-40.42771415710449,-0.24997872561216355,True,0.005000000074505806
beta:80.0_alpha:0.01_16_rollouts,18,-32.78603515625,-0.26456084847450256,True,0.3900000065565109
beta:80.0_alpha:0.01_16_rollouts,19,-42.56464538574219,-0.2936083346605301,True,0.0
beta:80.0_alpha:0.01_16_rollouts,20,-31.565663528442382,-0.2668932512402534,True,0.4150000065565109
beta:80.0_alpha:0.01_16_rollouts,21,-38.1742919921875,-0.2588120877742767,True,0.2450000040233135
beta:80.0_alpha:0.01_16_rollouts,22,-37.15908145904541,-0.31760832071304324,True,0.3550000086426735
beta:80.0_alpha:0.01_16_rollouts,23,-40.82675399780273,-0.36973339319229126,True,0.03500000052154064
beta:80.0_alpha:0.01_16_rollouts,24,-38.28004684448242,-0.24691761881113053,True,0.015000000223517418
beta:80.0_alpha:0.01_16_rollouts,25,-42.60281143188477,-0.3034328430891037,True,0.030000000447034835
beta:80.0_alpha:0.01_16_rollouts,6,-9.648685550689697,-0.09756730422377587,False,0.9650000035762787
beta:80.0_alpha:0.01_16_rollouts,7,-9.691201782226562,-0.10222405716776847,False,0.950000011920929
beta:80.0_alpha:0.01_16_rollouts,8,-8.67407283782959,-0.09162856340408325,False,0.9899999976158143
beta:80.0_alpha:0.01_16_rollouts,9,-8.637425756454467,-0.10104900375008583,False,0.950000011920929
beta:80.0_alpha:0.01_16_rollouts,10,-8.837027263641357,-0.09312685430049897,False,1.0
beta:80.0_alpha:0.01_16_rollouts,11,-9.151872920989991,-0.09609256833791732,False,0.9949999988079071
beta:80.0_alpha:0.01_16_rollouts,12,-8.356296873092651,-0.10413798987865448,False,0.9649999976158142
beta:80.0_alpha:0.01_16_rollouts,13,-10.488683032989503,-0.10182180851697922,False,0.9000000119209289
beta:80.0_alpha:0.01_16_rollouts,14,-8.938599061965942,-0.10441556423902512,False,0.9500000059604645
beta:80.0_alpha:0.01_16_rollouts,15,-7.948862981796265,-0.10280317142605781,False,0.9649999976158142
beta:80.0_alpha:0.01_16_rollouts,16,-9.214876079559327,-0.09856438785791397,False,0.9899999976158143
beta:80.0_alpha:0.01_16_rollouts,17,-9.105427265167236,-0.09014165252447129,False,0.9800000011920929
beta:80.0_alpha:0.01_16_rollouts,18,-9.377490520477295,-0.0956138588488102,False,0.9799999952316284
beta:80.0_alpha:0.01_16_rollouts,19,-8.730738162994385,-0.09187780916690827,False,0.9949999988079071
beta:80.0_alpha:0.01_16_rollouts,20,-8.507072019577027,-0.09832766205072403,False,0.9800000071525574
beta:80.0_alpha:0.01_16_rollouts,21,-11.220337104797363,-0.09649553745985032,False,0.9649999976158142
beta:80.0_alpha:0.01_16_rollouts,22,-9.811431217193604,-0.10098995491862298,False,0.9500000059604645
beta:80.0_alpha:0.01_16_rollouts,23,-8.806112480163574,-0.10197176635265351,False,0.9600000023841858
beta:80.0_alpha:0.01_16_rollouts,24,-9.479401016235352,-0.09813122302293778,False,0.9850000023841858
beta:80.0_alpha:0.01_16_rollouts,25,-7.614599609375,-0.09422227367758751,False,0.9899999976158143